record_date,product_id,product_name,category,segment,revenue,cost,profit,discount_rate,quantity
2022-01-01,P001,Enterprise Suite,Software,Enterprise,85000.0,54990.99,30009.01,0.0719,123
2022-01-01,P002,Analytics Pro,Software,Mid-Market,61881.13,50681.93,11199.2,0.1483,91
2022-01-01,P003,Basic Dashboard,Software,SME,39525.64,32417.66,7107.97,0.165,64
2022-01-01,P004,Consulting Services,Services,Enterprise,126222.34,90546.7,35675.64,0.104,16
2022-01-01,P005,Training Packages,Services,Mid-Market,24140.71,16720.46,7420.25,0.0519,43
2022-01-01,P006,Hardware Bundle,Hardware,Enterprise,89850.22,67719.87,22130.36,0.0742,34
2022-01-01,P007,Support Contracts,Services,SME,34922.74,23897.04,11025.69,0.0258,205
2022-01-01,P008,Cloud Storage Add-on,Software,Mid-Market,20730.89,18072.06,2658.83,0.1278,342
2022-02-01,P001,Enterprise Suite,Software,Enterprise,86000.0,56200.37,29799.63,0.0663,117
2022-02-01,P002,Analytics Pro,Software,Mid-Market,61517.67,46594.75,14922.92,0.0891,83
2022-02-01,P003,Basic Dashboard,Software,SME,38763.28,31533.7,7229.58,0.1637,62
2022-02-01,P004,Consulting Services,Services,Enterprise,115247.35,81907.85,33339.5,0.0649,15
2022-02-01,P005,Training Packages,Services,Mid-Market,25957.14,18053.92,7903.22,0.056,40
2022-02-01,P006,Hardware Bundle,Hardware,Enterprise,91010.22,67472.63,23537.59,0.0882,28
2022-02-01,P007,Support Contracts,Services,SME,34821.96,23901.4,10920.56,0.0242,214
2022-02-01,P008,Cloud Storage Add-on,Software,Mid-Market,19411.19,16705.94,2705.25,0.1196,299
2022-03-01,P001,Enterprise Suite,Software,Enterprise,87000.0,56308.98,30691.02,0.0777,125
2022-03-01,P002,Analytics Pro,Software,Mid-Market,62158.12,48916.86,13241.27,0.1106,96
2022-03-01,P003,Basic Dashboard,Software,SME,39713.04,33071.31,6641.73,0.1434,55
2022-03-01,P004,Consulting Services,Services,Enterprise,125120.14,89373.69,35746.45,0.0896,13
2022-03-01,P005,Training Packages,Services,Mid-Market,25329.97,17414.05,7915.91,0.0622,41
2022-03-01,P006,Hardware Bundle,Hardware,Enterprise,88299.94,67572.5,20727.43,0.0636,25
2022-03-01,P007,Support Contracts,Services,SME,35357.77,24209.26,11148.52,0.035,204
2022-03-01,P008,Cloud Storage Add-on,Software,Mid-Market,23178.78,20088.87,3089.91,0.1067,302
2022-04-01,P001,Enterprise Suite,Software,Enterprise,88000.0,57119.29,30880.71,0.0681,116
2022-04-01,P002,Analytics Pro,Software,Mid-Market,58211.74,46566.19,11645.55,0.1436,82
2022-04-01,P003,Basic Dashboard,Software,SME,39432.76,31822.54,7610.22,0.1979,63
2022-04-01,P004,Consulting Services,Services,Enterprise,114245.34,83195.46,31049.89,0.0387,13
2022-04-01,P005,Training Packages,Services,Mid-Market,26097.45,19169.79,6927.66,0.0592,40
